model,total_problems,compiled_successfully,tests_passed,compile_rate,test_pass_rate,test_pass_rate_compiled
Gemini 2.5 Pro,107,81,75,75.70093457943925,70.09345794392523,92.5925925925926
Gemini 2.5 Flash,106,74,66,69.81132075471697,62.264150943396224,89.1891891891892
Kimi K2 Instruct,107,79,64,73.83177570093457,59.813084112149525,81.0126582278481
Llama-4 Maverick 400B,107,72,51,67.28971962616822,47.66355140186916,70.83333333333334
Gemma-3 27B Instruct,107,76,50,71.02803738317756,46.728971962616825,65.78947368421053
H2looP v0.1-Coder,107,74,48,69.1588785046729,44.85981308411215,64.86486486486487
H2looP v0.1-Multimodal,106,69,41,65.09433962264151,38.67924528301887,59.42028985507246
Deepseek Coder V2-lite,107,71,39,66.35514018691589,36.44859813084112,54.929577464788736
Mistral NeMo 12B,106,58,23,54.71698113207547,21.69811320754717,39.6551724137931
Llama-4 Maverick 400B3_8b,107,50,14,46.728971962616825,13.084112149532709,28.000000000000004
