Model,Build Success Rate,Cohen's d
Gemini Pro,0.9166666666666666,0.5350535544812516
Kimi K2,0.9083333333333332,0.5065661507623945
Gemma3,0.775,0.13428059706767043
Gemini Flash,0.725,0.018577543105900568
**H2LooP v0.1-coder**,0.6166666666666667,-0.21333544036043334
Qwen 2.5 Coder,0.6,-0.24787498112877893
Llama4 Maverick,0.3666666666666666,-0.7502392726173494
deepseek_coder_v2lite,0.3583333333333333,-0.770132097938959
Llama3.3 8B,0.0666666666666666,-1.7847521716294754
Mistral Nemo,0.0583333333333333,-1.833000907909864
