Model,Build Success Rate,Build Rate CI,Validation Rate,Validation Rate CI
Gemini Pro,0.9166666666666666,"(np.float64(0.8672159529015747), np.float64(0.9661173804317585))",0.8363636363636363,"(np.float64(0.7672300272929926), np.float64(0.90549724543428))"
Kimi K2,0.9083333333333332,"(np.float64(0.8567052724541372), np.float64(0.9599613942125295))",0.7155963302752294,"(np.float64(0.6309054801416298), np.float64(0.800287180408829))"
Gemma3,0.775,"(np.float64(0.7002864145632058), np.float64(0.8497135854367942))",0.6451612903225806,"(np.float64(0.5479187572374182), np.float64(0.742403823407743))"
Gemini Flash,0.725,"(np.float64(0.6451099269633636), np.float64(0.8048900730366364))",0.8275862068965517,"(np.float64(0.7482116909487915), np.float64(0.906960722844312))"
**H2looP v0.1-multimodal**,0.7166666666666667,"(np.float64(0.6360425617631167), np.float64(0.7972907715702167))",0.6627906976744186,"(np.float64(0.562874283185929), np.float64(0.7627071121629081))"
**H2LooP v0.1-coder**,0.6166666666666667,"(np.float64(0.5296763328005648), np.float64(0.7036570005327686))",0.6891891891891891,"(np.float64(0.5837384769335354), np.float64(0.7946399014448429))"
Qwen 2.5 Coder,0.6,"(np.float64(0.5123477459423418), np.float64(0.6876522540576582))",0.6944444444444444,"(np.float64(0.5880434495165162), np.float64(0.8008454393723726))"
Llama4 Maverick,0.3666666666666666,"(np.float64(0.2804464010714701), np.float64(0.45288693226186316))",0.8409090909090909,"(np.float64(0.7328356551494095), np.float64(0.9489825266687724))"
deepseek_coder_v2lite,0.3583333333333333,"(np.float64(0.2725395514692034), np.float64(0.4441271151974633))",0.5116279069767442,"(np.float64(0.3622224722851402), np.float64(0.6610333416683483))"
Llama3.3 8B,0.0666666666666666,"(np.float64(0.02203632343858681), np.float64(0.11129700989474653))",0.5,"(np.float64(0.1535240439125805), np.float64(0.8464759560874195))"
Mistral Nemo,0.0583333333333333,"(np.float64(0.01639950975731879), np.float64(0.10026715690934787))",0.2857142857142857,"(np.float64(-0.04894357536961513), np.float64(0.6203721467981865))"
